ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
509,– Brelski pokręcił głową.,"– Na komendzie nikt nie odbiera, choć ze sto razy tam kręciłem, a u blacharzy jest wiecznie zajęte.",Beznadziejna sprawa.,KWJP,blacharzy,blacharz,auto body technician,policjant,policeman,offenses,1.0,1,1,X,1,always_euph
510,Czyżby nie wiedziała?,"– Miałem ją, jak i każdy z braci Skorpionów – powtórzył spokojnie.","– Owszem, nie najgorsza w tych sprawach, chociaż… księżniczka – wypowiedział ostanie słowo ze szczególną, pogardliwą intonacją.",KWJP,miałem ją,mieć kogoś,to have someone,mieć z kimś stosunek płciowy,to have sexual intercourse with someone,sex,1.0,1,1,1,X,sometimes_euph
511,"To dokąd idziemy? – zapytał, gdy opuścili gmach galerii przy Viktoriastrasse.",– Masz ochotę na panienki? – odpowiedział pytaniem Max.,– Mam ochotę się dzisiaj napić.,KWJP,panienki,panienka,lady,prostytutka,prostitute,sex,1.0,1,1,1,X,sometimes_euph
512,"Wbiłam w nią diabelski wzrok i krzyknęłam tak głośno, że przekrzyczałam lejdiski:","– Mało ci, cholerna flądro?",Męża też komuś odbiłaś?,KWJP,flądro,flądra,flounder,prostytutka,prostitute,sex,1.0,1,1,1,X,always_euph
513,– Daj spokój – rzucił Oskar znad kierownicy.,– Lakiernicy i blacharze mają chyba bardziej sprany łeb od ludzi z zakładów pogrzebowych.,"– Jasne, przecież widać, że w tych autach ginęli ludzie…",KWJP,blacharze,blacharz,auto body technician,-,-,offenses,0.0,0,0,X,0,sometimes_euph
514,– Co się stało?,– Kot mnie drapnął.,Podłe bydlę.,KWJP,drapnął,drapnąć,to scratch,-,-,offenses,0.0,0,0,X,0,sometimes_euph
515,– Poproszę dwa z konfiturą.,– Konfiturę skombinuj sobie sama – burknął.,Wstałam i z szafki nad zlewem wyjęłam pudełko z lekarstwami.,KWJP,skombinuj,skombinować,to scare sth up,-,-,offenses,0.0,0,0,X,0,sometimes_euph
516,On jest najważniejszy – tłumaczy felczerka.,– Kobiety chcą zadowolić męża.,"Więc najczęściej on je, czasem sąsiedzi, potem kobieta daje jedzenie dzieciom, a na końcu je sama.",KWJP,zadowolić męża,zadowolić kogoś,to please somebody,-,-,sex,0.0,0,0,0,X,sometimes_euph
517,"Nawet gdybym zatkał uszy, tobym się dowiedział.",– Kilka godzin temu policja zatrzymała w związku z tą sprawą pewnego Ukraińca.,Nazywa się Artem Butko.,KWJP,zatrzymała,zatrzymać,to hold back,aresztować,to arrest,offenses,1.0,1,1,X,1,always_euph
518,"– Tomek dzwonił i pytał, czy się pokłóciliśmy.",– Kabel! – powiedziałam odrobinę za głośno.,– Kto jest kabel?,KWJP,kabel,kapel,cable,donosicel,a snitch,offenses,1.0,1,1,X,1,always_euph
519,"Czekaj czuł się tak, jakby coś ciężkiego usiadło mu na piersi, i już nie mógł doczekać się chwili ulgi – ulgi od bólu, ograniczeń i tych zimnych palców wpijających się kurczowo w jego dłoń.",– Jestem gotowy – wyszeptał w głuchą noc.,"– Co…? Co mówiłeś, kochanie?",KWJP,jestem gotowy,być gotowym,to be ready,-,-,sex,1.0,1,1,1,X,always_euph
520,"– Ale jak to zrobić, skorośmy tylko dziewkami ze Skrzeczewic, co nawet porządnych sukni nie mają?!","– Ich to nie obchodzi wcale i kiedy na was patrzą, to nie widzą kata, zbójcy i dziewek z zamtuza, tylko królów, księżniczki, utopców, wilkołaki i smoki.","Skoro oni to widzą, wy nie możecie temu przeszkadzać.",KWJP,dziewek,dziewka,maiden,prostytutka,prostitute,sex,0.0,0,0,0,X,sometimes_euph
521,– Nie da się ukryć.,– I sprzątniemy Idze sprzed nosa ładny kawałek tortu! – z dumą i nieukrywaną złośliwością powiedziała Anita.,"– Pan Bóg nierychliwy, ale sprawiedliwy!",KWJP,sprzątniemy,sprzątnąć,to clean up,ukraść,to steal,offenses,1.0,1,1,X,1,always_euph
522,"– Słucham? – spytała, stając za barem.",– Chciałabym poprosić o sprzątnięcie ze stolika.,"Siedzimy w rogu, przy samej ścianie.",KWJP,sprzątnięcie,sprzątnąć,to clean up,-,-,offenses,0.0,0,0,X,0,sometimes_euph
523,– Żygadło natychmiast odstawił flaszkę.,"– Blacharze, a kto miałby przyjść? – odparła z kąta, przerzucając leżące na kupie rzeczy.",Adam poczuł ukłucie niepokoju. Milicja?,KWJP,blacharze,blacharz,auto body technician,policjant,policeman,offenses,1.0,0,1,X,1,sometimes_euph
524,"Nikomu nie przeszkadzało to, że Belén chciała urodzić dziecko i publicznie o tym powiedziała.","– Będę je bardzo kochać, choć ten mężczyzna bardzo mnie skrzywdził – stwierdziła w rozmowie z telewizyjnym Kanałem 13.","Pomimo tej deklaracji aborcyjni lobbyści nadal naciskali na to, by aborcja została przeprowadzona.",KWJP,skrzywdził,skrzywdzić,to hurt,zgwałcić,to rape,sex,1.0,1,1,1,X,always_euph
525,"Pionier przekonał się o tym w symboliczny sposób 4 maja o godzinie 18, kiedy stanął na dachu dzisiejszego magistratu, by wciągnąć polską flagę.","- Z narożnego domu przy ul. Felczaka i Jedności Narodowej [dziś Jana Pawła II — red.] strzelił ktoś w moim kierunku; czułem, jak kule świsnęły koło mnie — wspominał.","Do Szczecina w pierwszych dniach maja 1945 roku zaczęły ściągać nie tylko skromne, początkowo kilkudziesięcioosobowe zespoły polskich osadników zmontowane w Poznaniu i mające konkretne zadania.",KWJP,świsnęły,świsnąć,to whizz,-,-,offenses,0.0,0,0,X,0,sometimes_euph
526,"Pomyśleć tylko, że jako dziecko tak bardzo bałam się umrzeć… — podzieliła się tą myślą z Tristanem i Rafaelem.","- Wyobrażałam sobie śmierć, jak większość ludzi, jako straszną kostuchę…","Gdybym wcześniej wiedziała to, co wiem teraz… — zamilkła, przejęta pomysłem, który nagle wpadł jej do głowy.",KWJP,kostuchę,kostucha,death reaper,,,death,0.0,X,0,0,0,sometimes_euph
527,"W wtorkowe popołudnie, w rynku miasta kilkadziesiąt osób zatańczyło z różowymi balonami w dłoniach, by zaakcentować swój sprzeciw wobec molestowaniu kobiet na całym świecie.","- Smutni panowie z banerami już się wszystkim przejedli, dlatego roztańczone dziewczyny z kolorowymi balonami to świetny pomysł, by pokazać, co jest dla nas ważne.","— To już mój któryś z kolei One Billion Rising, podoba mi się to, że przychodzimy i tańczymy, w jednej sprawie — mówiły uczestniczki akcji w Zielonej Górze.",KWJP,smutni panowie,smutny pan,a sad man,-,-,offenses,0.0,0,0,X,0,sometimes_euph
528,Ruszyć taką piramidę jest niezwykle trudno – stwierdził Remigiusz,"- Nie cofną się przed niczym, aby zachować przywileje.",Nie dadzą się łatwo oderwać od koryta – powiedział Paul.,KWJP,Nie cofną się przed niczym,nie cofnąć się przed niczym,stop at nothing,zabić,to kill,death,0.0,X,0,0,0,sometimes_euph
529,Teraz jest tuż przed trzydziestką.,"- Mój ojciec jest blacharzem, a brat mechanikiem.","Brat jest też inżynierem, ale również zaczynał w samochodówce, tylko w technikum.",KWJP,blacharzem,blacharz,auto body technician,-,-,offenses,0.0,0,0,X,0,sometimes_euph
530,"Kiedy zobaczył ten fragment ulicy, na którym tamten fotograf postawił stopy i się pochylił, przybliżając oko do aparatu, odgadywał kolejny fragment powierzonej mu tajemnicy.","Zapisywał dokładne dane w zeszycie, który wciąż się robił grubszy, gdy za okładkę wkładał następny.","Kiedy zebrał pokaźny spis miejsc, odtwarzał drogę, którą tamtego ranka o godzinie dziewiątej rano w roku tysiąc dziewięćset trzydziestym dziewiątym szedł fotograf.",KWJP,grubszy,grubszy,thicker,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
531,"W jednym z tych programów była historia ojca, którego dzieci pozbawiły całego majątku i on jest w tragicznym położeniu, bez środków do życia.","Zagrał to genialnie amator – nie wiem, czy jakikolwiek aktor w Polsce by tak zagrał – pensjonariusz placówki Towarzystwa św. Brata Alberta, mocno starszy pan.","Moja matka zadzwoniła do mnie, że żąda, żebym natychmiast spróbowała jakoś pomóc temu panu.",KWJP,mocno starszy,mocno starszy,much older,old,stary,physical appearance,1.0,X,1,1,1,always_euph
532,"Okazuje się, że najważniejsze dla oceny szpitala położniczego nie jest zdrowie pacjentek czy ich dzieci, udane porody i zakończone sukcesem operacje, tylko to, że nie przeprowadzono aborcji.","Z tego powodu zastosowano wobec mnie od razu najwyższy wymiar kary, czyli wyrzucenie z pracy.",Uczyniono to bez wysłuchania moich racji i bez przekazania tej decyzji w pierwszej kolejności mnie samemu.,KWJP,najwyższy wymiar kary,najwyższy wymiar kary,the highest penalty,-,-,death,0.0,X,0,0,0,sometimes_euph
533,"Wszystko to niezwykle wciągająca opowieść, ale trudno oprzeć się wrażeniu, że „wszechogarniająca, absolutna perfekcja zamysłu w praktyce może, ostatecznie zaś nawet musi, pociągać za sobą chroniczny dysfunkcjonalizm i konstytucyjną chwiejność” – zwłaszcza gdy konstytutywna nośność projektu w niemałej mierze wyczerpuje się w samej konstrukcji.","Z czym z kolei ściśle łączy się trzecia ułomność powieści, jaką jest merytoryczna ewidentność.","Prędko orientujemy się, że obsesją Adriana jest problem zła.",KWJP,ułomność,ułomność,a fault,-,-,illness,0.0,X,0,0,0,sometimes_euph
534,"Matka ponadsiedemdziesięcioletnia, córka pięćdziesięcioparoletnia.","Wzięły z domu sznury i taborety, poszły pod kościół, przywiązały sznury na bramie, stanęły na taboretach (córka chyba pomagała matce, przecież wejść na taboret w tym wieku niełatwo), a potem je odkopnęły.",(Norwidowe słowo).,KWJP,tym wieku,ten wiek,this age,starość,old age,physical appearance,1.0,X,1,1,1,sometimes_euph
535,"Były jednak skłonne uważać to za nieudaną próbę udawania zniewieściałości, co wydawało im się atrakcyjne.","Vic żłopał w barze z Grubym Antoyne’em i Liv Hulą już od kilku tygodni, lecz nadal wyglądał młodo jak na swój wiek.","Zwrócił się w jej stronę, trzymając ręce w kieszeniach, i nieznajoma skierowała się ku niemu, jakby był jedynym punktem orientacyjnym dostępnym w barze.",KWJP,wyglądał młodo,wyglądać młodo,look younger,wyglądać staro,look older,physical appearance,1.0,X,1,1,0,always_euph
536,"Cofnął się nagle i spojrzał w prawo, na drzwi w następnej klatce schodowej.",Trzymała się na nich mocno stara krata.,Nikt jej nie otwierał przez dekady.,KWJP,mocno stara,mocno starszy,much older,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
537,"Słuchałem ich w liceum, a ten ich syn nie ma chyba nawet piętnastu lat i trochę mnie zdziwiło, że słucha takiej muzyki. Innych nie kojarzę, jakieś bardziej współczesne były, a ja, wie pan, do trzydziestki dobijam, więc nie wiem, czego teraz dzieciaki słuchają.",Trzydziestka piękny wiek – skomentował z uśmiechem komisarz.,A nie rzuciło się panu w oczy nic charakterystycznego oprócz tej czarnej ściany?,KWJP,piękny wiek,piękny wiek,beautyful age/century,-,-,physical appearance,0.0,X,0,1,0,sometimes_euph
538,My… – zaczął Hane.,"To znaczy ja chciałem udowodnić wszystkim, że nie jesteśmy już dziećmi i nie boimy się podjąć ryzyka.","I uważasz, że ten zamiar się powiódł?",KWJP,nie jesteśmy już dziećmi,nie być dzieckiem,to be no longer a child,-,-,physical appearance,0.0,X,0,0,1,sometimes_euph
539,"Pius XII zdecydował, że jeśli trzeba, Gwardia Szwajcarska może być uzbrojona w najnowsze karabinki automatyczne.","To właśnie strach przed komunizmem spowodował, że jesienią tegoż roku papież Pius XII nie wygłosił orędzia radiowego, o co go prosiły U.S. War Refugee Board i Departament Stanu, naciskając na Węgry, by powstrzymały się od deportacji kolejnych 65 tys. Żydów do Auschwitz.",W 1945 r. w ostatnich miesiącach wojny i pierwszych miesiącach epoki powojennej to właśnie obawa przed komunizmem skłoniła Piusa XII do starań o ułaskawienie skazanych oprawców i do zapewnienia tajnych dróg ucieczki faszystom jeszcze nieschwytanym przez aliantów.,KWJP,jesienią,jesień,fall,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
540,"Nie bardzo wierzyłam, że znajdzie dla mnie czas, ale udało się.","To niezwykle szczupła blondynka, jak głosi metryka, ma czterdzieści lat, choć wygląda wciąż na młodą dziewczynę.",Na zewnątrz leje jak z cebra.,KWJP,metryka,metryka,certificate,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
541,". Niechcianego prezentu pozbędzie się wraz z powrotem do życia i eliminacją pięciorga skrajnie niebezpiecznych, zdegenerowanych obywateli.","To nieco wymuszone, choć mocne wprowadzenie fabularne, w którym Susan musi złożyć krwawą ofiarę, rozpoczyna makabryczną część historii – egoistyczne, amoralne, bezkarne Pasożyty nie cofną się przed niczym, by zrealizować swe chore fantazje.","Przedstawiając kanibalizm, sadyzm oraz brutalne fetysze, twórcy pokazują ciemną stronę człowieka oraz podważają istnienie jednoznacznego podziału na dobro i zło.",KWJP,nie cofną się przed niczym,nie cofnąć się przed niczym,stop at nothing,-,-,death,1.0,X,1,1,1,always_euph
542,"Forum jak forum, daleko mu do Forum Romanum, ale mało zarżnięta przez paździerz PRL i zachłanność III RP Krynica jednak piękna, wionąca duchem Nikifora, więc przechadzam się deptakiem.","To całkowity przypadek, rzecz jasna, ale od dziecka tak mam jakoś, że zwracam uwagę na płeć piękną, a nie piękną inaczej.","Mija mnie pierwsze młode dziewczę, na piersi czerwony „Levis”.",KWJP,piękną inaczej.,piękny inaczej.,beautiful differently,-,-,physical appearance,1.0,X,1,1,1,always_euph
543,Zaparowały mi okulary.,"Tamci ledwie podnieśli głowy, po prostu posunęli się na ławach, tak żebyśmy mogli usiąść.","Ktoś postawił na stole dodatkowe kubki, ktoś położył chleb, smalec i ogórki.",KWJP,posunęli się,posunąć się,to move,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
544,"Ktoś, kto po wyborze Karola Wojtyły na papieża nadal trzymał się swego protestanckiego albo prawosławnego wyznania i jednocześnie miał się za Polaka, nie zasługuje, żeby nazwać go inaczej niż zaprzańcem!","Stefan ze smutkiem zauważył, że piękna harcerka z każdym słowem przemowy zastępowego wpatrywała się w niego coraz bardziej jak w ikonostas, gdy tymczasem niepiękna z niechlujnymi mysimi ogonkami rzekła zasadniczym tonem: – Protestanccy pastorowie i prawosławni popi przynajmniej mogą mieć żony i nie frustrują się seksualnie.",Mają dzieci i nie muszą molestować ministrantów.,KWJP,niepiękna,niepiękny,not beautiful,brzydki,ugly,physical appearance,1.0,X,1,1,1,always_euph
545,"On pisze, jak ma coś do napisania.","Stąd się wzięła jego nowa książka – kolejny zbiór świetnie napisanych różnorodnych gatunkowo tekstów (felietony, mini-eseje, opowiadania), które dzięki przemyślnej kompozycji całości układają się w zwarty zapis stanu świadomości człowieka, który jest już w „jesieni życia”, który z dojrzałego dystansu patrzy na siebie i to, co się stało w jego życiu, bez nadziei na możliwość zmiany czegokolwiek, ale też bez wielkiego żalu, że nie uległ jako pisarz literackiej komercji, że jest sobą i że nie uczestniczy w dzisiejszym targowisku literackiej próżności.","Zresztą jego osobność zaczęła się dużo wcześniej, niż nastała epoka Facebooka.",KWJP,jesieni,jesień,fall,starość,old age,death,1.0,X,1,1,1,always_euph
546,"Cóż, starszemu nieudolnie idzie obróbka Twoich zdjęć w najnowszym Photoshopie, ale za to Twoje zdjęcie nosi w portfelu.","Starszy mężczyzna nie dba o siebie, ma brzuszek i zestaw różnych nałogów.",Pachnie tytoniem i swetrem z molami.,KWJP,brzuszek,brzuszek,tummy,(duży) brzuch,(big) belly,physical appearance,1.0,X,1,1,1,sometimes_euph
547,Ewa została w rodzinnym mieszkaniu sama.,"Sąsiad posunął się w latach, rozpił się i zaniedbał.",Pewnego dnia dostała dziwny SMS z nieznanego numeru.,KWJP,posunął się,posunąć się,to move,zestrzarzeć się,to age,physical appearance,1.0,X,1,1,1,always_euph
548,Jednak ministerstwo robi to w sposób mało systemowy: już np. naukowcy w średnim wieku pozostawieni są sami sobie i o większość grantów muszą konkurować w kategoriach otwa,"Sama definicja młodego naukowca jest dyskryminująca, bo opiera się na metryce urodzenia, a nie na liczbie lat poświęconych karierze naukowej.","Akceptowalny jest więc tylko jeden model kariery: doktorat zaraz po studiach, bez marnowania czasu na rodzinę czy zdobywanie doświadczenia praktycznego (choć i jedno, i drugie może procentować długofalowo).",KWJP,metryce,metryka,certificate,-,-,physical appearance,0.0,X,0,1,0,sometimes_euph
549,"Natychmiast wykluczono wersję akcji służb rosyjskich, uznając, że Putin nie zdecydowałby się na zamach terrorystyczny na własnym terytorium.","Sam premier podczas jednego z telemostów, odpowiadając na pytania rodaków, zapewniał, że jego służby specjalne stronią od „mokrej roboty”.","Ale latem 2010 r. pytany o wpadkę siatki nielegałów wywiadu w USA na skutek zdrady pułkownika SWR z ironią mówił: „Zdrajcy zawsze źle kończą, kończą z reguły wskutek pijaństwa, narkotyków, pod płotem.",KWJP,mokrej roboty,mokra robota,wet job (dirty job),zabić,to kill,death,1.0,X,1,1,1,sometimes_euph
